12B8Li6He,,10C11Be,,Reactor,,Th,,U,,hep,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
2.0224752157425705,2211.1131512009983,2.0149748390709297,1851.5763796627816,2.0149748390709297,1407.3979382939883,2.0149748390709297,1178.5179683259842,2.013104095071533,839.8176202591527,2.01559880664679,1.630579384848485
2.0300035111996597,2211.0552828817235,2.0300035111996597,1851.479463581458,2.0300035111996597,1407.3242716094592,2.0300035111996597,1178.4562817844437,2.0394532996694434,839.7406950438971,2.013104095071533,1.6305936100416132
2.037559829364789,2210.9974160769543,2.045144274547383,1851.3825525729612,2.045144274547383,1407.2506087808274,2.045144274547383,1178.3945984717302,2.064229131243343,925.0224626883404,2.028118814272585,1.6305082607443049
2.045144274547383,2210.93955078665,2.060397965145472,1851.285646637028,2.060397965145472,1407.1769498078888,2.060397965145472,1178.3329183876724,2.069989241626906,925.004305656112,2.035668116996831,1.6304655877709378
2.052756951445139,2210.881687010772,2.075765425260831,1851.188745773389,2.075765425260831,1407.1032946904427,2.075765425260831,1178.2712415321025,2.079625166077373,924.9740447277287,2.0451442745473836,1.630412248124753
2.060397965145472,2210.8238247492804,2.0912475034424043,1851.0918499817806,2.0912475034424043,1407.0296434282873,2.087366191810774,1178.2249860090187,2.0893059463358545,924.9437847893124,2.0565739096117577,1.630348242852691
2.0680674211269667,2210.765964002135,2.102934794207707,1851.0191814664345,2.102934794207707,1406.974407511584,2.0990317912088354,1178.1787323017932,2.0996817882971457,924.9115086127944,2.062312658548114,2.0434996456990464
2.075765425260831,2210.7081047692973,2.114687401376357,1216.754943352278,2.114687401376357,749.864895337858,2.114687401376357,551.8786944203007,2.0970830070097453,924.9195775513334,2.0719128480425253,1.6302629063985075
2.0834920838123607,2210.6502470507266,2.1304597787747244,1216.6912553930158,2.1304597787747244,749.8256455569821,2.1304597787747244,551.8498077262298,2.114687401376357,368.68902881260686,2.087366191810774,1.6301775744110447
2.0912475034424043,2210.5923908463838,2.146349794311303,1216.6275707673374,2.146349794311303,749.7863978305357,2.1443570791068964,551.8245331092329,2.131119508016923,368.6689266527851,2.1029347942077075,1.630092246890069
2.0990317912088354,2210.5345361562313,2.1623583253891128,1216.5638894750698,2.1623583253891128,749.7471521584124,2.158345033559107,551.7992596498093,2.1284818161868957,368.6721429247013,2.118619514888795,1.6300069238353465
2.104889016374866,2210.4911461322786,2.1784862559552765,1216.5002115160382,2.172424233481423,749.7226246564987,2.174443031023427,551.7703771135499,2.146349794311303,368.6504336337702,2.134421219921238,1.6299216052466434
2.1107625857843653,1575.1654863800436,2.1926968400133013,1216.4444960360445,2.1825369989814685,749.6980979569861,2.1906610952603587,551.7414960890738,2.1630279325009596,368.6303335782864,2.1503407818317926,1.629836291123726
